年份,情景,情景标签,人口_65岁及以上_万人,综合有效领取率,申请率,资产审查通过率,合资格长者_万人,平均每月津贴_港元,年支出_亿港元,津贴通胀率,津贴来源,公式
2026,低,保守（支出偏低）,183.21,0.054452,0.099004,0.55,9.9761,8729.0,104.4981,0.015,[真实数据量级] 2025单身长者约8600；其后按情景通胀[假设],合资格人数×月津贴×12
2027,低,保守（支出偏低）,191.4244,0.054452,0.099004,0.55,10.4234,8859.93,110.8211,0.015,[真实数据量级] 2025单身长者约8600；其后按情景通胀[假设],合资格人数×月津贴×12
2028,低,保守（支出偏低）,199.39,0.054452,0.099004,0.55,10.8572,8992.83,117.1641,0.015,[真实数据量级] 2025单身长者约8600；其后按情景通胀[假设],合资格人数×月津贴×12
2029,低,保守（支出偏低）,207.1352,0.054452,0.099004,0.55,11.2789,9127.73,123.5411,0.015,[真实数据量级] 2025单身长者约8600；其后按情景通胀[假设],合资格人数×月津贴×12
2030,低,保守（支出偏低）,214.6858,0.054452,0.099004,0.55,11.6901,9264.64,129.9651,0.015,[真实数据量级] 2025单身长者约8600；其后按情景通胀[假设],合资格人数×月津贴×12
2031,低,保守（支出偏低）,222.0648,0.054452,0.099004,0.55,12.0919,9403.61,136.4486,0.015,[真实数据量级] 2025单身长者约8600；其后按情景通胀[假设],合资格人数×月津贴×12
2032,低,保守（支出偏低）,228.0882,0.054452,0.099004,0.55,12.4198,9544.67,142.2519,0.015,[真实数据量级] 2025单身长者约8600；其后按情景通胀[假设],合资格人数×月津贴×12
2033,低,保守（支出偏低）,233.8126,0.054452,0.099004,0.55,12.7316,9687.84,148.0094,0.015,[真实数据量级] 2025单身长者约8600；其后按情景通胀[假设],合资格人数×月津贴×12
2034,低,保守（支出偏低）,239.2757,0.054452,0.099004,0.55,13.029,9833.15,153.7397,0.015,[真实数据量级] 2025单身长者约8600；其后按情景通胀[假设],合资格人数×月津贴×12
2035,低,保守（支出偏低）,244.5111,0.054452,0.099004,0.55,13.3141,9980.65,159.4601,0.015,[真实数据量级] 2025单身长者约8600；其后按情景通胀[假设],合资格人数×月津贴×12
2036,低,保守（支出偏低）,249.5494,0.054452,0.099004,0.55,13.5884,10130.36,165.1871,0.015,[真实数据量级] 2025单身长者约8600；其后按情景通胀[假设],合资格人数×月津贴×12
2037,低,保守（支出偏低）,254.279,0.054452,0.099004,0.55,13.846,10282.32,170.8425,0.015,[真实数据量级] 2025单身长者约8600；其后按情景通胀[假设],合资格人数×月津贴×12
2038,低,保守（支出偏低）,258.7135,0.054452,0.099004,0.55,14.0875,10436.55,176.4293,0.015,[真实数据量级] 2025单身长者约8600；其后按情景通胀[假设],合资格人数×月津贴×12
